,Year,Month,Day,HomeTeam,AwayTeam,HomeScore,AwayScore,Tournament,Location,RatingTeam1,RatingTeam2,MatchName,Date,TotalGoals,Result,NewResult,HigherRating,LowerRating,HigherTeam,LowerTeam,HigherTeamScoring,HigherTeamConceding,LowerTeamScoring,LowerTeamConceding,HigherTeamExpectedScoring,HigherTeamExpectedConceding,RatingTotal,RatingDifferenceAbsolute,RatingDifferenceRelative
920,2017,1,28,Cameroon,Senegal,0,0,African Nations Cup,GA,1621,1712,Cameroon-Senegal,2017-01-28,0,0-0,0-0,1712,1621,Senegal,Cameroon,1.9333367578085086,0.6028820772583156,1.2239920172521093,0.7891956997571415,1.1441410580513671,-0.6211099399937937,3333,91,1.05613818630475
921,2017,1,29,Egypt,Morocco,1,0,African Nations Cup,GA,1719,1602,Egypt-Morocco,2017-01-29,1,1-0,1-0,1719,1602,Egypt,Morocco,0.9384041026779864,0.280264389031553,1.297960646947052,0.5161577382525712,0.4222463644254152,-1.017696257915499,3321,117,1.0730337078651686
928,2017,2,5,Cameroon,Egypt,2,1,African Nations Cup,GA,1689,1681,Cameroon-Egypt,2017-02-05,3,2-1,2-1,1689,1681,Cameroon,Egypt,1.1830029206398418,0.5283045593415575,0.958766382784437,0.3694331860459156,0.8135697345939262,-0.43046182344287953,3370,8,1.0047590719809638
952,2017,3,23,Argentina,Chile,1,0,World Cup qualifier,,2056,1974,Argentina-Chile,2017-03-23,1,1-0,1-0,2056,1974,Argentina,Chile,1.7142359568301668,1.0468670186836952,1.3315264413055372,0.8265221603948031,0.8877137964353637,-0.28465942262184196,4030,82,1.0415400202634246
955,2017,3,23,Colombia,Bolivia,1,0,World Cup qualifier,,1929,1629,Colombia-Bolivia,2017-03-23,1,1-0,1-0,1929,1629,Colombia,Bolivia,0.8435084383006171,1.2498576729023991,0.8596858912035805,2.3093919371821046,-1.4658834988814875,0.3901717816988186,3558,300,1.1841620626151013
961,2017,3,23,Paraguay,Ecuador,2,1,World Cup qualifier,,1725,1831,Paraguay-Ecuador,2017-03-23,3,2-1,1-2,1831,1725,Ecuador,Paraguay,2.0377507912393575,1.2867053137627542,0.7172868849624611,1.7115442978208582,0.3262064934184994,0.5694184288002931,3556,106,1.0614492753623188
966,2017,3,23,Uruguay,Brazil,1,4,World Cup qualifier,,1887,2118,Uruguay-Brazil,2017-03-23,5,1-4,4-1,2118,1887,Brazil,Uruguay,2.2724309138127596,0.36777847170179645,1.8816038438117162,1.408316864590636,0.8641140492221235,-1.5138253721099197,4005,231,1.12241653418124
967,2017,3,23,Venezuela,Peru,2,2,World Cup qualifier,,1686,1831,Venezuela-Peru,2017-03-23,4,2-2,2-2,1831,1686,Peru,Venezuela,1.5269741426476307,1.430878727340951,1.2013319239346705,1.7866002505205238,-0.2596261078728932,0.22954680340628042,3517,145,1.0860023724792407
970,2017,3,24,Croatia,Ukraine,1,0,World Cup qualifier,,1889,1760,Croatia-Ukraine,2017-03-24,1,1-0,1-0,1889,1760,Croatia,Ukraine,1.9383085119651304,0.5393929977904159,1.5216403067048665,0.6717766262471647,1.2665318857179657,-0.9822473089144506,3649,129,1.0732954545454545
974,2017,3,24,Ireland,Wales,0,0,World Cup qualifier,,1793,1768,Ireland-Wales,2017-03-24,0,0-0,0-0,1793,1768,Ireland,Wales,1.6169080495960977,0.7758277543755637,1.5469974803559492,1.089834362671219,0.5270736869248787,-0.7711697259803855,3561,25,1.0141402714932126
